id,buggy,fixed,buggy_source_code,fixed_source_code,operations,signature,check1,check2
29568,"public static < TYPE_1 , TYPE_2 > TYPE_3 < TYPE_1 , TYPE_2 > METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 element ) { VAR_2 = VAR_1 ; VAR_3 . element = element ; return VAR_3 ; } 
","public static < TYPE_1 , TYPE_2 > TYPE_3 < TYPE_1 , TYPE_2 > METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 element ) { return new TYPE_3 < > ( VAR_1 , element ) ; } 
","@java.lang.SuppressWarnings(value = ""unchecked"")
public static <G, E> edu.uci.ics.jung.graph.util.Context<G, E> getInstance(G graph, E element) {
    edu.uci.ics.jung.graph.util.Context.instance.graph = graph;
    edu.uci.ics.jung.graph.util.Context.instance.element = element;
    return edu.uci.ics.jung.graph.util.Context.instance;
}","@java.lang.SuppressWarnings(value = ""unchecked"")
public static <G, E> edu.uci.ics.jung.graph.util.Context<G, E> getInstance(G graph, E element) {
    return new edu.uci.ics.jung.graph.util.Context<>(graph, element);
}","Insert Return at Block
Insert ConstructorCall at Return
Insert VariableRead at ConstructorCall
Insert VariableRead at ConstructorCall
Delete TypeAccess at FieldRead
Delete FieldRead at FieldWrite
Delete FieldWrite at Assignment
Delete VariableRead at Assignment
Delete Assignment at Block
Delete TypeAccess at FieldRead
Delete FieldRead at FieldWrite
Delete FieldWrite at Assignment
Delete VariableRead at Assignment
Delete Assignment at Block
Delete TypeAccess at FieldRead
Delete FieldRead at Return
Delete Return at Block
","<G,E> edu.uci.ics.jung.graph.util.Context getInstance(G,E)
<G,E> edu.uci.ics.jung.graph.util.Context getInstance(G,E)",-2,-2
41822,"public boolean equals ( final java.lang.Object VAR_1 ) { throw new TYPE_1 ( STRING_1 ) ; } 
","public abstract boolean equals ( final java.lang.Object VAR_1 ) ; 
","@java.lang.Override
public boolean equals(final java.lang.Object other) {
    throw new java.lang.AssertionError(""Should not happen: equality should always be checked on an object of a subclass"");
}","@java.lang.Override
public abstract boolean equals(final java.lang.Object other);","Delete Literal at ConstructorCall
Delete ConstructorCall at Throw
Delete Throw at Block
Delete Block at Method
","boolean equals(java.lang.Object)
boolean equals(java.lang.Object)",-2,-2
30160,"public static double [ ] METHOD_1 ( java.util.List < java.lang.Double > values ) { return values . METHOD_2 ( ) . METHOD_3 ( java.lang.Double : : METHOD_4 ) . METHOD_5 ( ) ; } 
","public static double [ ] METHOD_1 ( java.util.List < java.lang.Double > values ) { if ( values == null ) return null ; return values . METHOD_2 ( ) . METHOD_3 ( java.lang.Double : : METHOD_4 ) . METHOD_5 ( ) ; } 
","public static double[] toPrimitives(java.util.List<java.lang.Double> values) {
    return values.stream().mapToDouble(java.lang.Double::doubleValue).toArray();
}","public static double[] toPrimitives(java.util.List<java.lang.Double> values) {
    if (values == null)
        return null;
    
    return values.stream().mapToDouble(java.lang.Double::doubleValue).toArray();
}","Insert If at Block
Insert BinaryOperator at If
Insert Block at If
Insert VariableRead at BinaryOperator
Insert Literal at BinaryOperator
Insert Return at Block
Insert Literal at Return
","double[] toPrimitives(java.util.List)
double[] toPrimitives(java.util.List)",-2,-2
13926,"private java.util.List < TYPE_1 > METHOD_1 ( android.content.Intent intent ) { java.util.ArrayList < TYPE_1 > VAR_1 = intent . METHOD_2 ( VAR_2 ) ; if ( METHOD_3 ( VAR_1 ) ) { return VAR_1 ; } else { return new java.util.ArrayList < TYPE_1 > ( ) ; } } 
","private java.util.List < TYPE_1 > METHOD_1 ( android.content.Intent intent ) { java.util.ArrayList < TYPE_1 > VAR_1 = intent . METHOD_2 ( VAR_2 ) ; if ( METHOD_3 ( VAR_1 ) ) { return VAR_1 ; } else { return null ; } } 
","private java.util.List<android.net.Uri> extractInputUrlsFromIntent(android.content.Intent intent) {
    java.util.ArrayList<android.net.Uri> uris = intent.getParcelableArrayListExtra(vandy.mooc.assignments.assignment.activities.GalleryActivity.INTENT_EXTRA_URLS);
    if (validateInput(uris)) {
        return uris;
    }else {
        return new java.util.ArrayList<android.net.Uri>();
    }
}","private java.util.List<android.net.Uri> extractInputUrlsFromIntent(android.content.Intent intent) {
    java.util.ArrayList<android.net.Uri> uris = intent.getParcelableArrayListExtra(vandy.mooc.assignments.assignment.activities.GalleryActivity.INTENT_EXTRA_URLS);
    if (validateInput(uris)) {
        return uris;
    }else {
        return null;
    }
}","Insert Literal at Return
Delete ConstructorCall at Return
","java.util.List extractInputUrlsFromIntent(android.content.Intent)
java.util.List extractInputUrlsFromIntent(android.content.Intent)",-2,-2
17293,"public java.util.List < TYPE_1 > METHOD_1 ( TYPE_2 VAR_1 ) { } 
","public java.util.List < TYPE_1 > METHOD_1 ( TYPE_2 VAR_1 ) { return null ; } 
","public java.util.List<Paper> batchRenaming(java.nio.file.Path papersFolder) {
}","public java.util.List<Paper> batchRenaming(java.nio.file.Path papersFolder) {
    return null;
}","Insert Return at Block
Insert Literal at Return
","java.util.List batchRenaming(java.nio.file.Path)
java.util.List batchRenaming(java.nio.file.Path)",-2,-2
2940,"public java.util.List < TYPE_1 > METHOD_1 ( double VAR_1 ) { return VAR_2 . METHOD_2 ( VAR_1 ) . METHOD_3 ( ) . METHOD_4 ( TYPE_2 : : METHOD_5 ) . METHOD_6 ( TYPE_3 . METHOD_7 ( ) ) ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( double VAR_1 ) { return null ; } 
","@java.lang.Override
public java.util.List<bg.bc.tools.chronos.core.entities.DChangelog> getChangelogsForUpdateCounterLessThan(double lessThanModifierValue) {
    return changelogRepo.findByUpdateCounterLessThan(lessThanModifierValue).stream().map(DbToDomainMapper::dbToDomainChangelog).collect(java.util.stream.Collectors.toList());
}","@java.lang.Override
public java.util.List<bg.bc.tools.chronos.core.entities.DChangelog> getChangelogsForUpdateCounterLessThan(double lessThanModifierValue) {
    return null;
}","Insert Literal at Return
Delete TypeAccess at ThisAccess
Delete ThisAccess at FieldRead
Delete FieldRead at Invocation
Delete VariableRead at Invocation
Delete Invocation at Invocation
Delete Invocation at Invocation
Delete FieldRead at ExecutableReferenceExpression
Delete ExecutableReferenceExpression at Invocation
Delete Invocation at Invocation
Delete TypeAccess at Invocation
Delete Invocation at Invocation
Delete Invocation at Return
","java.util.List getChangelogsForUpdateCounterLessThan(double)
java.util.List getChangelogsForUpdateCounterLessThan(double)",-2,-2
621,"public static TYPE_1 METHOD_1 ( android.content.Context context ) { VAR_1 = context ; return VAR_2 ; } 
","public static TYPE_1 METHOD_1 ( android.content.Context context ) { return new TYPE_1 ( context ) ; } 
","public static com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory getInstance(android.content.Context context) {
    com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory.mContext = context;
    return com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory.mInstance;
}","public static com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory getInstance(android.content.Context context) {
    return new com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory(context);
}","Move Parameter from Method to CtParameterImpl
","com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory getInstance(android.content.Context)
com.xinyi.czbasedevtool.base.manager.ui_about.dialog.MaterialDialogFactory getInstance(android.content.Context)",-2,-2
34705,"protected synchronized java.lang.Long [ ] METHOD_1 ( TYPE_1 < java.lang.Integer , java.lang.String > VAR_1 ) { return METHOD_1 ( VAR_1 . METHOD_2 ( ) , VAR_1 . METHOD_3 ( ) ) ; } 
","protected synchronized java.lang.Long [ ] METHOD_1 ( TYPE_1 < java.lang.Integer , java.lang.String > VAR_1 ) { if ( VAR_1 == null ) { return null ; } else { return METHOD_1 ( VAR_1 . METHOD_2 ( ) , VAR_1 . METHOD_3 ( ) ) ; } } 
","protected synchronized java.lang.Long[] getLastPlayed(github.daneren2005.dsub.util.Pair<java.lang.Integer, java.lang.String> pair) {
    return getLastPlayed(pair.getFirst(), pair.getSecond());
}","protected synchronized java.lang.Long[] getLastPlayed(github.daneren2005.dsub.util.Pair<java.lang.Integer, java.lang.String> pair) {
    if (pair == null) {
        return null;
    }else {
        return getLastPlayed(pair.getFirst(), pair.getSecond());
    }
}","Insert Block at Method
Insert If at Block
Insert BinaryOperator at If
Insert Block at If
Move Block from Method to CtBlockImpl
Insert VariableRead at BinaryOperator
Insert Literal at BinaryOperator
Insert Return at Block
Insert Literal at Return
","java.lang.Long[] getLastPlayed(github.daneren2005.dsub.util.Pair)
java.lang.Long[] getLastPlayed(github.daneren2005.dsub.util.Pair)",-2,-2
26318,"private java.util.List < TYPE_1 > METHOD_1 ( java.lang.Long VAR_1 ) { TYPE_2 data = new TYPE_2 ( ) ; java.util.List < TYPE_1 > VAR_2 = data . METHOD_2 ( VAR_1 ) ; return data . METHOD_2 ( VAR_1 ) ; } 
","private java.util.List < TYPE_1 > METHOD_1 ( java.lang.Long VAR_1 ) { return null ; } 
","private java.util.List<com.netcracker.cinema.model.Ticket> getTicketsByCode(java.lang.Long code) {
    com.netcracker.cinema.web.cashier.TestData data = new com.netcracker.cinema.web.cashier.TestData();
    java.util.List<com.netcracker.cinema.model.Ticket> tickets = data.getTicketListByCode(code);
    return data.getTicketListByCode(code);
}","private java.util.List<com.netcracker.cinema.model.Ticket> getTicketsByCode(java.lang.Long code) {
    return null;
}","Insert Literal at Return
Delete ConstructorCall at LocalVariable
Delete LocalVariable at Block
Delete VariableRead at Invocation
Delete VariableRead at Invocation
Delete Invocation at LocalVariable
Delete LocalVariable at Block
Delete VariableRead at Invocation
Delete VariableRead at Invocation
Delete Invocation at Return
","java.util.List getTicketsByCode(java.lang.Long)
java.util.List getTicketsByCode(java.lang.Long)",-2,-2
6532,"public static java.util.List < java.lang.String > METHOD_1 ( android.content.Context c , java.lang.String list , int VAR_1 ) { } 
","public static java.util.List < java.lang.String > METHOD_1 ( android.content.Context c , java.lang.String list , int VAR_1 ) { return null ; } 
","public static java.util.List<java.lang.String> filterWordList(android.content.Context c, java.lang.String list, int mastery) {
}","public static java.util.List<java.lang.String> filterWordList(android.content.Context c, java.lang.String list, int mastery) {
    return null;
}","Insert Return at Block
Insert Literal at Return
","java.util.List filterWordList(android.content.Context,java.lang.String,int)
java.util.List filterWordList(android.content.Context,java.lang.String,int)",-2,-2
666,"public long METHOD_1 ( ) { return VAR_1 . METHOD_2 ( ) ; } 
","public long METHOD_2 ( ) { return VAR_1 . METHOD_2 ( ) ; } 
","public long getMileages() {
    return _customer.get_mileages();
}","public long get_mileages() {
    return _customer.get_mileages();
}","Update Method at Class
","long getMileages()
long get_mileages()",-2,-2
28207,"public void METHOD_1 ( TYPE_1 error ) { TYPE_2 VAR_1 = ( ( TYPE_2 ) ( TYPE_3 . METHOD_2 ( error ) ) ) ; TYPE_4 . METHOD_3 ( this , TYPE_5 . get ( VAR_1 . METHOD_4 ( ) ) ) ; METHOD_5 ( ) ; } 
","public void METHOD_1 ( TYPE_1 error ) { TYPE_4 . error ( this , error ) ; METHOD_5 ( ) ; } 
","@java.lang.Override
public void failure(retrofit.RetrofitError error) {
    co.gov.inci.evaluon.backend.models.classes.exceptions.BoolException exception = ((co.gov.inci.evaluon.backend.models.classes.exceptions.BoolException) (co.gov.inci.evaluon.backend.models.converters.BoolExceptionConverter.parse(error)));
    co.gov.inci.evaluon.backend.services.gui.ToastService.byResource(this, BoolException.ERROR_DICT.get(exception.getMessage()));
    finish();
}","@java.lang.Override
public void failure(retrofit.RetrofitError error) {
    co.gov.inci.evaluon.backend.services.gui.ToastService.error(this, error);
    finish();
}","Update Invocation at Block
Update VariableRead at Invocation
Move VariableRead from Invocation to CtVariableReadImpl
Delete TypeAccess at Invocation
Delete VariableRead at Invocation
Delete Invocation at LocalVariable
Delete LocalVariable at Block
Delete TypeAccess at Invocation
Delete Invocation at Invocation
Delete Invocation at Invocation
","void failure(retrofit.RetrofitError)
void failure(retrofit.RetrofitError)",-2,-2
13263,"public java.util.List < TYPE_1 > METHOD_1 ( ) { return super . METHOD_1 ( ) ; } 
","public java.util.List < TYPE_1 > METHOD_1 ( ) { return null ; } 
","@java.lang.Override
public java.util.List<com.softserve.tc.diary.entity.Tag> getAll() {
    return super.getAll();
}","@java.lang.Override
public java.util.List<com.softserve.tc.diary.entity.Tag> getAll() {
    return null;
}","Move Method from Class to CtMethodImpl
Insert Literal at Return
Delete SuperAccess at Invocation
Delete Invocation at Return
","java.util.List getAll()
java.util.List getAll()",-2,-2
16888,"public double [ ] METHOD_1 ( ) { } 
","public double [ ] METHOD_1 ( ) { return null ; } 
","public double[] getOutputs() {
}","public double[] getOutputs() {
    return null;
}","Insert Return at Block
Insert Literal at Return
","double[] getOutputs()
double[] getOutputs()",-2,-2
24633,"public < TYPE_1 extends TYPE_2 > TYPE_3 < TYPE_1 > METHOD_1 ( TYPE_3 < TYPE_1 > VAR_1 ) { return null ; } 
","public < TYPE_1 extends TYPE_2 > java.util.List < TYPE_1 > METHOD_1 ( TYPE_3 < TYPE_1 > VAR_1 ) { return null ; } 
","@java.lang.Override
public <S extends com.tawila.erpproject.model.Product> java.lang.Iterable<S> save(java.lang.Iterable<S> arg0) {
    return null;
}","@java.lang.Override
public <S extends com.tawila.erpproject.model.Product> java.util.List<S> save(java.lang.Iterable<S> arg0) {
    return null;
}","Move Method from Class to CtMethodImpl
","<S extends com.tawila.erpproject.model.Product> java.lang.Iterable save(java.lang.Iterable)
<S extends com.tawila.erpproject.model.Product> java.util.List save(java.lang.Iterable)",-2,-2
16024,"public java.lang.String [ ] METHOD_1 ( ) { return source . get ( ( ( VAR_1 ) ++ ) ) . METHOD_2 ( ) ; } 
","public java.lang.String [ ] METHOD_1 ( ) { if ( ( VAR_1 ) < ( source . size ( ) ) ) return source . get ( ( ( VAR_1 ) ++ ) ) . METHOD_2 ( ) ; else return null ; } 
","@java.lang.Override
public java.lang.String[] read() {
    return source.get(((readIndex)++)).getTokens();
}","@java.lang.Override
public java.lang.String[] read() {
    if ((readIndex) < (source.size()))
        return source.get(((readIndex)++)).getTokens();
    else
        return null;
    
}","Insert Block at Method
Insert If at Block
Insert BinaryOperator at If
Move Block from Method to CtBlockImpl
Insert Block at If
Insert FieldRead at BinaryOperator
Insert Invocation at BinaryOperator
Insert Return at Block
Insert ThisAccess at FieldRead
Insert FieldRead at Invocation
Insert Literal at Return
Insert TypeAccess at ThisAccess
Insert ThisAccess at FieldRead
Insert TypeAccess at ThisAccess
","java.lang.String[] read()
java.lang.String[] read()",-2,-2
31909,"public void METHOD_1 ( int VAR_1 ) throws java.lang.Exception { METHOD_2 ( INT_1 ) ; METHOD_2 ( INT_2 ) ; } 
","public void METHOD_1 ( ) throws java.lang.Exception { METHOD_2 ( INT_1 ) ; METHOD_2 ( INT_2 ) ; } 
","public void testLargeGapInData(int window) throws java.lang.Exception {
    doTestLargeGapInData(128);
    doTestLargeGapInData(500);
}","@org.junit.Test
public void testLargeGapInData() throws java.lang.Exception {
    doTestLargeGapInData(128);
    doTestLargeGapInData(500);
}","Insert Annotation at Method
Delete Parameter at Method
","void testLargeGapInData(int)
void testLargeGapInData()",-2,-2
29870,"private float [ ] METHOD_1 ( int VAR_1 , TYPE_1 [ ] VAR_2 ) { if ( ( VAR_2 [ VAR_1 ] ) == null ) java.lang.System.out.println ( ( STRING_1 + VAR_1 ) ) ; return VAR_2 [ VAR_1 ] . VAR_3 ; } 
","private float [ ] METHOD_1 ( int VAR_1 , TYPE_1 [ ] VAR_2 ) { if ( ( VAR_2 [ VAR_1 ] ) == null ) { java.lang.System.out.println ( ( STRING_1 + VAR_1 ) ) ; return null ; } return VAR_2 [ VAR_1 ] . VAR_3 ; } 
","private float[] getAgentSpeed(int Id, com.mygdx.game.android.GameState.AgentInfo[] Status) {
    if ((Status[Id]) == null)
        java.lang.System.out.println((""Exception null Status Block : "" + Id));
    
    return Status[Id].speedVector;
}","private float[] getAgentSpeed(int Id, com.mygdx.game.android.GameState.AgentInfo[] Status) {
    if ((Status[Id]) == null) {
        java.lang.System.out.println((""Exception null Status Block : "" + Id));
        return null;
    }
    return Status[Id].speedVector;
}","Move Return from Block to CtReturnImpl
","float[] getAgentSpeed(int,com.mygdx.game.android.GameState$AgentInfo[])
float[] getAgentSpeed(int,com.mygdx.game.android.GameState$AgentInfo[])",-2,-2
