,buggy_source_code,fixed_source_code,check1,check2
2665,"@java.lang.Override
public void onStartSigning() {
    android.widget.Toast.makeText(this, ""ÕýÔÚÊäÈë"", Toast.LENGTH_SHORT).show();
}","@java.lang.Override
public void onStartSigning() {
}",-2,-2
5726,"public boolean onQueryTextChange(java.lang.String newText) {
    if (android.text.TextUtils.isEmpty(newText)) {
        mListView.clearTextFilter();
    }else {
        mListView.setFilterText(newText.toString());
    }
    return true;
}","public boolean onQueryTextChange(java.lang.String newText) {
    return true;
}",-2,-2
253,"public java.util.List<java.nio.file.Path> readFilesFromDirectory(java.lang.String dir) {
    java.util.List<java.nio.file.Path> result = new java.util.ArrayList<java.nio.file.Path>();
    listFiles(dir, result);
    return result;
}","public java.util.List<java.nio.file.Path> readFilesFromDirectory(java.lang.String dir) {
    return readFilesFromDirectory(dir, ""\t"");
}",-2,-2
3769,"private void monitorChildController(com.bluelinelabs.conductor.Controller controller) {
    mChildBackstack.add(controller);
    controller.addLifecycleListener(new com.bluelinelabs.conductor.Controller.LifecycleListener() {
        @java.lang.Override
        public void postDestroy(@android.support.annotation.NonNull
        com.bluelinelabs.conductor.Controller controller) {
            mChildBackstack.remove(controller);
        }
    });
}","@java.lang.Override
public void postDestroy(@android.support.annotation.NonNull
com.bluelinelabs.conductor.Controller controller) {
    mChildBackstack.remove(controller);
}",-2,-2
3374,"@org.junit.Test
public void contextLoads() {
    com.takeaway.model.user.User user = userRepo.findByUserNameAndPassword(""user"", ""123456"");
    java.util.List<com.takeaway.model.user.Address> addresses = user.getAddressList();
}","@org.junit.Test
public void contextLoads() {
}",-2,-2
1522,"public java.lang.String ojTest(java.lang.String arg) {
    oj.OJ.getData().getCells().getSelectedCell().getSelectedYtem().setIJRoi(ij.IJ.getImage().getRoi());
    return null;
}","public java.lang.String ojTest(java.lang.String arg) {
    return null;
}",-2,-2
4849,"@java.lang.Override
public boolean hasNext() {
    return (first) != null;
}","@java.lang.Override
public boolean hasNext() {
    return !(isEmpty());
}",-2,-2
2464,"void popEmpties() {
    while (!(stack.empty())) {
        if (!(stack.peek().hasNext())) {
            stack.pop();
        }else {
            return ;
        }
    } 
}","@java.lang.Override
public boolean hasNext() {
    popEmpties();
    return !(stack.isEmpty());
}",-2,-2
5555,"private void startCamera() {
    if ((camera) != null) {
        stopCamera();
    }
    camera = android.hardware.Camera.open(cameraId);
    startCameraPreview();
}","private void startCamera() {
}",-2,-2
1165,"private void init() {
    com.sina.weibo.sdk.WbSdk.install(this, new com.sina.weibo.sdk.auth.AuthInfo(this, com.weapon.joker.lib.middleware.utils.Constants.WEIBO_APP_KEY, com.weapon.joker.lib.middleware.utils.Constants.WEIBO_REDIRECT_URL, com.weapon.joker.lib.middleware.utils.Constants.WEIBO_SCOPE));
}","private void init() {
}",-2,-2
2761,"public java.lang.String toString() {
    return name().toLowerCase().replaceFirst(name().substring(0, 1).toLowerCase(), name().substring(0, 1).toUpperCase());
}","public java.lang.String toString() {
    return name();
}",-2,-2
3517,"@org.junit.Test
public void testImportUnknownFormat() {
    java.lang.String fileName = net.sf.jabref.importer.ImportFormatReaderTest.class.getResource(resourceName).getFile();
    net.sf.jabref.importer.ImportFormatReader.UnknownFormatImport unknownFormat = reader.importUnknownFormat(fileName);
    assertEquals(count, unknownFormat.parserResult.getDatabase().getEntryCount());
}","@org.junit.Test
public void testImportUnknownFormat() {
    net.sf.jabref.importer.ImportFormatReader.UnknownFormatImport unknownFormat = reader.importUnknownFormat(fileName);
    assertEquals(count, unknownFormat.parserResult.getDatabase().getEntryCount());
}",-2,-2
3559,"@org.springframework.context.annotation.Bean
org.molgenis.data.semanticsearch.repository.TagRepository tagRepository() {
    org.molgenis.data.Repository<org.molgenis.data.meta.model.Tag> repo = dataService.getRepository(org.molgenis.data.meta.model.TagMetaData.TAG, org.molgenis.data.meta.model.Tag.class);
    return new org.molgenis.data.semanticsearch.repository.TagRepository(repo, idGenerator, tagFactory);
}","@org.springframework.context.annotation.Bean
org.molgenis.data.semanticsearch.repository.TagRepository tagRepository() {
    return new org.molgenis.data.semanticsearch.repository.TagRepository(dataService, idGenerator, tagFactory);
}",-2,-2
3045,"@java.lang.Override
public void post(final java.lang.Object event) {
    synchronized(me.sniggle.android.utils.otto.ActivatorBus.LOCK) {
        if (active) {
            postEvent(event);
        }else {
            eventCache.add(event);
        }
    }
}","@java.lang.Override
public void post(final java.lang.Object event) {
    synchronized(me.sniggle.android.utils.otto.ActivatorBus.LOCK) {
        post(event, active);
    }
}",-2,-2
1823,"@com.haalthy.service.RequestMapping(value = ""/list"", method = RequestMethod.GET, headers = ""Accept=application/json"", produces = { ""application/json"" })
@com.haalthy.service.ResponseBody
public java.util.Set getFoobarList() {
    java.lang.String user = userMapper.getUserByUsername(""user1"");
    java.lang.System.out.println(user);
    return com.haalthy.service.EmployeeController.Employees;
}","@com.haalthy.service.RequestMapping(value = ""/list"", method = RequestMethod.GET, headers = ""Accept=application/json"", produces = { ""application/json"" })
@com.haalthy.service.ResponseBody
public java.util.Set getFoobarList() {
    return com.haalthy.service.EmployeeController.Employees;
}",-2,-2
3590,"org.apache.ignite.internal.processors.cache.GridCacheEntryEx entryEx() {
    org.apache.ignite.internal.processors.cache.IgniteCacheOffheapManagerImpl.DataRow dr = new org.apache.ignite.internal.processors.cache.IgniteCacheOffheapManagerImpl.DataRow(0, link);
    dr.initData();
    return cctx.cache().entryEx(dr.key());
}","org.apache.ignite.internal.processors.cache.GridCacheEntryEx entryEx() {
    assert (key) != null;
    return cctx.cache().entryEx(key);
}",-2,-1
3702,"@java.lang.Override
public boolean equals(java.lang.Object obj) {
    if ((this) == obj) {
        return true;
    }
    if (obj == null) {
        return false;
    }
    return kalang.core.Types.getRootType().equals(obj);
}","@java.lang.Override
public boolean equals(java.lang.Object obj) {
    return (this) == obj;
}",-2,-2
1653,"public double getAge(java.util.Calendar compare) {
    double age = ChronoUnit.MINUTES.between(delivered, compare);
    age = age / 60;
    return age;
}","public double getAge(java.util.Calendar compare) {
    return 0;
}",-2,-2
4749,"public int indexOf(int elem) {
    for (int i = 0; i < (mySize); i++) {
        if (elem == (myData[i]))
            return i;
        
    }
    return -1;
}","public int indexOf(int elem) {
    return indexOf(elem, 0, mySize);
}",-2,-2
4031,"@com.xtremelabs.robolectric.internal.Implementation
@java.lang.Override
public boolean moveToPosition(int pos) {
    try {
        resultSet.absolute((pos + 1));
    } catch (java.sql.SQLException e) {
        throw new java.lang.RuntimeException(""SQL exception in moveToPosition"", e);
    }
    return super.moveToPosition(pos);
}","@com.xtremelabs.robolectric.internal.Implementation
@java.lang.Override
public boolean moveToPosition(int pos) {
    return super.moveToPosition(pos);
}",-2,-2
4607,"public java.lang.String lastName() {
    java.util.List<java.lang.String> lastNames = lastNames();
    return lastNames.get(new java.util.Random().nextInt(lastNames.size()));
}","public java.lang.String lastName() {
    return lastNames(1).get(0);
}",-2,-2
2103,"@java.lang.Override
public void run() {
    com.timekeeping.utils.Prefs.getInstance(App.Instance).setMigrated(true);
}","@java.lang.Override
public void run() {
}",-2,-2
1928,"private void setCylinderCount(int value) {
    if ((value < 1) || (value > 12)) {
        throw new java.lang.IllegalArgumentException(""Illegal cylinder count"");
    }
    cylinderCount = value;
}","public void setCylinderCount(int cylinderCount) {
    this.cylinderCount = cylinderCount;
}",-2,-2
1845,"@java.lang.Override
public void run() {
    java.lang.System.out.println(""Deleting initialized!"");
    long i = 0;
    boolean flag;
    while (true) {
        flag = executeCleaning();
        if (flag == false) {
            i++;
        }
    } 
}","@org.springframework.scheduling.annotation.Scheduled(fixedRate = 5000)
public void run() {
    executeCleaning();
}",-2,-2
3004,"private int bound(int n) {
    n = n % (org.ag.ants_utils.Variables.DIM);
    while (n < 0) {
        n += n;
    } 
    return n;
}","private int bound(int n) {
    if (n < 0) {
        n += org.ag.ants_utils.Variables.DIM;
    }else
        if (n > ((org.ag.ants_utils.Variables.DIM) - 1)) {
            n -= org.ag.ants_utils.Variables.DIM;
        }
    
    return n;
}",-2,1
1495,"public int isLocked() {
    if (isLocked) {
        return 1;
    }else {
        return 0;
    }
}","public int isLocked() {
    return isLocked;
}",-2,-2
3856,"public void end() {
    renderer.destroyWorld();
    renderer = null;
}","public void end() {
}",-2,-2
2196,"@java.lang.Override
public java.lang.String toString() {
    return ((""\"""" + (this.name)) + ""\"" : "") + (this.attributes.toString());
}","@java.lang.Override
public java.lang.String toString() {
    return ((""\"""" + (name)) + ""\"" : "") + (attributes.toString());
}",2,1
2367,"java.lang.String getAndLogTokenHandlerProperty(java.lang.String property) {
    java.lang.String value = org.apache.commons.lang3.StringUtils.trim(tokenHandlerProp.getProperty(property));
    return value;
}","java.lang.String getAndLogTokenHandlerProperty(java.lang.String property) {
    if (property == null) {
        return null;
    }
    if ((tokenHandlerProp.getProperty(property)) == null) {
        return null;
    }
    return tokenHandlerProp.getProperty(property).trim();
}",-2,1
2906,"public static void addSystemSlice(SystemSlice slice) {
    VisualGUI.overallSeries1.add(((slice.getTime()) - (VisualGUI.programStartTime)), slice.getCpu());
}","public static void addSystemSlice(SystemSlice slice) {
}",-2,-2
3506,"public java.lang.String getSelectedStratgey() {
    stratgeyService.findStratgeyById(clientBean.getSelectedStrategyId()).getValue();
    return selectedStratgey;
}","public java.lang.String getSelectedStratgey() {
    return selectedStratgey;
}",-2,-2
1012,"@java.lang.Override
public void onPause() {
    super.onPause();
    ((com.quartzodev.buddybook.MainActivity) (getActivity())).hideTab();
}","@java.lang.Override
public void onPause() {
    super.onPause();
}",-2,-2
5055,"@java.lang.Override
public void onFocusChange(android.view.View v, boolean hasFocus) {
    android.widget.Toast.makeText(getBaseContext(), java.lang.String.valueOf(hasFocus), Toast.LENGTH_SHORT).show();
}","@java.lang.Override
public void onFocusChange(android.view.View v, boolean hasFocus) {
}",-2,-2
3026,"@java.lang.Override
public void onDismiss(android.content.DialogInterface dialog) {
    exitIcon.setVisibility(View.GONE);
    editIcon.setVisibility(View.GONE);
}","@java.lang.Override
public void onDismiss(android.content.DialogInterface dialog) {
}",-2,-2
2710,"public java.lang.String getOversamp() {
    if ((oversamp) == null) {
        return ""n"";
    }
    return oversamp;
}","public java.lang.String getOversamp() {
    if (((this.oversamp) == null) || (this.oversamp.trim().isEmpty())) {
        return ""n"";
    }
    return this.oversamp;
}",1,1
5357,"@java.lang.Override
public java.lang.String toModelImport(java.lang.String name) {
    if ("""".equals(modelPackage())) {
        return name;
    }else {
        return ((modelPackage()) + ""."") + name;
    }
}","@java.lang.Override
public java.lang.String toModelImport(java.lang.String name) {
    return name;
}",-2,-2
4623,"@java.lang.Override
public void onClick(android.content.DialogInterface dialog, int which) {
    android.content.Intent intent = new android.content.Intent();
    intent.putExtra(""data_return"", word);
    setResult(com.example.a99460.smartnote.RESULT_OK, intent);
    finish();
}","@java.lang.Override
public void onClick(android.content.DialogInterface dialog, int which) {
    finish();
}",-2,-2
3527,"@java.lang.Override
public void run() {
    if (checkNIDBLEFilter(device.getName()))
        addDevice(getBtDeviceSpec(device, false, rssi));
    
}","@java.lang.Override
public void run() {
    addDevice(getBtDeviceSpec(device, name, false, rssi));
}",-2,-2
3643,"public void CiktiHesapla(int sira) {
    if (sira != 57) {
        araKatmanCiktiHesapla((sira + 1));
        cikisKatmaniCiktiHesapla((sira + 1));
    }
}","public void CiktiHesapla(int sira) {
    araKatmanCiktiHesapla(sira);
    cikisKatmaniCiktiHesapla(sira);
}",-2,-2
5327,"@java.lang.Override
protected void onDestroy() {
    super.onDestroy();
    try {
        con.disconnect();
    } catch (java.io.IOException e) {
        android.util.Log.e(""ERROR"", (""Read this: "" + (e.getMessage())));
    }
}","@java.lang.Override
protected void onDestroy() {
    super.onDestroy();
}",-2,-2
1731,"@org.springframework.web.bind.annotation.PostMapping(value = ""/"")
public java.lang.String post(@javax.validation.Valid
rohan.validator.web.model.Registration registration, org.springframework.validation.BindingResult bindingResult) {
    if (bindingResult.hasErrors()) {
        rohan.validator.web.controllers.BasicController.LOGGER.error(bindingResult.getAllErrors().toString());
    }
    return rohan.validator.web.controllers.BasicController.BASIC_VIEW;
}","@org.springframework.web.bind.annotation.PostMapping(value = ""/"")
public java.lang.String post(@rohan.validator.web.validators.CheckRegistration
rohan.validator.web.model.Registration registration) {
    return rohan.validator.web.controllers.BasicController.BASIC_VIEW;
}",-2,-2
3957,"private void printResult(boolean testResult) {
    if (testResult) {
        java.lang.System.out.printf(""%d\n"", 0);
    }else {
        java.lang.System.out.printf(""%d\n"", 1);
    }
}","private void printResult(boolean testResult) {
    if (testResult) {
        java.lang.System.out.println(0);
    }else {
        java.lang.System.out.println(1);
    }
}",-1,-1
3120,"@java.lang.Override
public void addTags(edu.unc.lib.dl.search.solr.model.BriefObjectMetadata record, edu.unc.lib.dl.acl.util.AccessGroupSet accessGroups) {
    if (record.getContentStatus().contains(FacetConstants.CONTENT_IS_DEFAULT_OBJECT)) {
        edu.unc.lib.dl.search.solr.model.Tag tag = new edu.unc.lib.dl.search.solr.model.Tag(""primary object"");
        record.addTag(tag);
    }
}","@java.lang.Override
@java.lang.Deprecated
public void addTags(edu.unc.lib.dl.search.solr.model.BriefObjectMetadata record, edu.unc.lib.dl.acl.util.AccessGroupSet accessGroups) {
}",-2,-2
3179,"public double getLatitude() {
    if ((locationGPS) != null)
        latitude = locationGPS.getLatitude();
    else
        if ((locationNetwork) != null)
            latitude = locationNetwork.getLatitude();
        
    
    return latitude;
}","public double getLatitude() {
    return latitude;
}",-2,-2
2690,"@java.lang.Override
public void onLocationFound(android.location.Location location) {
    android.widget.Toast.makeText(getApplicationContext(), (""Latitude - "" + (location.getLatitude())), Toast.LENGTH_SHORT).show();
}","@java.lang.Override
public void onLocationFound(android.location.Location location) {
}",-2,-2
5195,"@org.junit.Test
public void testEndGame() {
    assertEquals(1001, myGameStateDAO.endGame(1, 1).getUid());
}","@org.junit.Test
public void testEndGame() {
}",-2,-2
4627,"public int getNumberOfIntervals() {
    return (numberOfIntervals) + (running ? 1 : 0);
}","public int getNumberOfIntervals() {
    return numberOfIntervals;
}",-2,-2
1540,"@java.lang.Override
public void onClick(android.view.View v) {
    android.widget.Toast.makeText(this, (""Note "" + (v.getId())), Toast.LENGTH_SHORT).show();
}","@java.lang.Override
public void onClick(android.view.View v) {
}",-2,-2
4995,"@java.lang.Override
public void onLongPress(android.view.MotionEvent e) {
    android.widget.Toast.makeText(main.getApplicationContext(), ""press"", Toast.LENGTH_SHORT).show();
}","@java.lang.Override
public void onLongPress(android.view.MotionEvent e) {
}",-2,-2
64,"public void onSettingsMenuClick(android.view.MenuItem item) {
    android.widget.TextView infoTextView = ((android.widget.TextView) (findViewById(R.id.textViewInfo)));
    infoTextView.setText(""§£§í §Ó§í§Ò§â§Ñ§Ý§Ú §á§å§ß§Ü§ä Settings"");
}","public void onSettingsMenuClick(android.view.MenuItem item) {
}",-2,-2
1487,"public static void throwException(int domain, int code) throws com.couchbase.cbforest.ForestException {
    com.couchbase.cbforest.ForestException x = new com.couchbase.cbforest.ForestException();
    x.domain = domain;
    x.code = code;
    throw x;
}","public static void throwException(int domain, int code, java.lang.String msg) throws com.couchbase.cbforest.ForestException {
    throw new com.couchbase.cbforest.ForestException(domain, code, msg);
}",-2,-2
4196,"@org.springframework.context.annotation.Bean(name = ""configLoader"", initMethod = ""load"")
public com.pleuvoir.loader.ConfigLoader getConfigLoader() {
    com.pleuvoir.loader.ConfigLoader loader = new com.pleuvoir.loader.XmlConfigLoader();
    loader.setLocation(""classpath:config.xml"");
    loader.setTargetClass(com.pleuvoir.config.XmlConfig.class);
    return loader;
}","@org.springframework.context.annotation.Bean(name = ""configLoader"", initMethod = ""load"")
public com.pleuvoir.loader.ConfigLoader getConfigLoader() {
    com.pleuvoir.loader.ConfigLoader loader = new com.pleuvoir.loader.XmlConfigLoader();
    loader.setLocation(""classpath:config.xml"");
    return loader;
}",-2,-2
3051,"public void setInput(java.util.List<java.lang.Double> input) {
}","public void setInput(java.util.List<java.lang.Double> input) {
    if ((input.size()) == (this.input.size()))
        this.input = input;
    
}",-2,-1
1200,"@java.lang.Override
public void onClick(android.view.View v) {
    com.facebook.Session s = com.facebook.Session.getActiveSession();
    if (!(session.isClosed())) {
        session.closeAndClearTokenInformation();
    }
    com.kii.cloud.storage.KiiUser.logOut();
}","@java.lang.Override
public void onClick(android.view.View v) {
    com.kii.cloud.storage.KiiUser.logOut();
}",-2,-2
4690,"public javax.jms.Connection createConnection() throws javax.jms.JMSException {
    return createConnection(properties.getUser(), properties.getPassword());
}","public javax.jms.Connection createConnection() throws javax.jms.JMSException {
    return createConnection(this.properties.getUser(), this.properties.getPassword());
}",2,2
3574,"public Personnage getTempPersoSelec() {
    if ((tempPersoSelectionne) != null) {
        return tempPersoSelectionne;
    }
    return new Personnage(""pas de temp"", true, 0, new Position((-1), (-1)), (-1));
}","public Personnage getTempPersoSelec() {
    if ((tempPersoSelectionne) != null) {
        return tempPersoSelectionne;
    }
    return null;
}",-2,-2
2104,"@java.lang.Override
protected void onDestroy() {
    super.onDestroy();
    if ((nbmWebRTCPeer) != null) {
        nbmWebRTCPeer.close();
    }
}","@java.lang.Override
protected void onDestroy() {
    super.onDestroy();
}",-2,-2
