,buggy-org,buggy,fixed-org,fixed,check1,check2
4390,"protected TYPE_1 execute ( ) throws java.lang.Exception { TYPE_1 response = new TYPE_1 ( TYPE_2 . METHOD_1 ( ) ) ; TYPE_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ; TYPE_4 . METHOD_2 ( ) . METHOD_4 ( VAR_1 ) ; return response ; } 
","protected TYPE_1 execute ( ) throws java.lang.Exception { TYPE_1 response = new TYPE_1 ( TYPE_2 . METHOD_1 ( ) ) ; TYPE_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ; TYPE_4 . METHOD_2 ( ) . METHOD_4 ( VAR_1 ) ; return response ; } 
","protected TYPE_1 execute ( ) throws java.lang.Exception { TYPE_1 response = new TYPE_1 ( TYPE_2 . METHOD_1 ( ) ) ; TYPE_3 . METHOD_2 ( ) . METHOD_3 ( token ) ; TYPE_4 . METHOD_2 ( ) . METHOD_4 ( VAR_1 ) ; return response ; } 
","protected TYPE_1 execute ( ) throws java.lang.Exception { TYPE_1 response = new TYPE_1 ( TYPE_2 . METHOD_1 ( ) ) ; TYPE_3 . METHOD_2 ( ) . METHOD_3 ( VAR_1 ) ; TYPE_4 . METHOD_2 ( ) . METHOD_4 ( VAR_1 ) ; return response ; } 
",-2,-2
1928,"private void METHOD_1 ( int value ) { if ( ( value < 1 ) || ( value > INT_1 ) ) { throw new TYPE_1 ( STRING_1 ) ; } VAR_1 = value ; } 
","private void METHOD_1 ( int VAR_1 ) { if ( ( value < 1 ) || ( value > INT_1 ) ) { throw new TYPE_1 ( STRING_1 ) ; } VAR_1 = value ; } 
","public void METHOD_1 ( int VAR_1 ) { this . VAR_1 = VAR_1 ; } 
","public void METHOD_1 ( int VAR_1 ) { this . VAR_1 = VAR_1 ; } 
",-2,-2
2120,"public java.lang.Object METHOD_1 ( ) { return value ; } 
","public java.lang.Object METHOD_1 ( ) { return value ; } 
","public java.lang.Object getValue ( ) { return value ; } 
","public java.lang.Object METHOD_1 ( ) { return value ; } 
",-2,-2
1689,"public void add ( final java.lang.String fieldName , final int value ) { this . add ( fieldName , java.lang.String . METHOD_1 ( value ) ) ; } 
","public void METHOD_1 ( final java.lang.String fieldName , final int value ) { this . add ( fieldName , java.lang.String . METHOD_1 ( value ) ) ; } 
","private java.lang.String METHOD_1 ( final int value ) { return java.lang.String . METHOD_1 ( value ) ; } 
","private java.lang.String METHOD_1 ( final int value ) { return java.lang.String . METHOD_1 ( value ) ; } 
",-2,-2
4814,"public TYPE_1 set ( java.lang.String key , boolean VAR_1 ) { return METHOD_1 ( key , TYPE_2 . METHOD_2 ( VAR_1 ) ) ; } 
","public TYPE_1 set ( java.lang.String key , boolean VAR_1 ) { return METHOD_1 ( key , TYPE_2 . METHOD_2 ( VAR_1 ) ) ; } 
","public TYPE_1 set ( java.lang.String key , boolean value ) { return METHOD_1 ( key , TYPE_2 . METHOD_2 ( value ) ) ; } 
","public TYPE_1 set ( java.lang.String key , boolean VAR_1 ) { return METHOD_1 ( key , TYPE_2 . METHOD_2 ( VAR_1 ) ) ; } 
",-2,-2
5044,"TYPE_1 METHOD_1 ( java.lang.String id ) { java.lang.Long VAR_1 = java.lang.Long . METHOD_2 ( id ) ; return VAR_2 . METHOD_3 ( VAR_1 ) ; } 
","TYPE_1 METHOD_1 ( java.lang.String id ) { java.lang.Long VAR_1 = java.lang.Long . METHOD_2 ( id ) ; return VAR_2 . METHOD_3 ( VAR_1 ) ; } 
","TYPE_1 METHOD_1 ( java.lang.String id ) { java.lang.Long VAR_1 = java.lang.Long.parseLong ( id ) ; return VAR_2 . METHOD_3 ( VAR_1 ) ; } 
","TYPE_1 METHOD_1 ( java.lang.String id ) { java.lang.Long VAR_1 = java.lang.Long.METHOD_2 ( id ) ; return VAR_2 . METHOD_3 ( VAR_1 ) ; } 
",-2,-2
2651,"public java.lang.String METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) throws java.io.IOException { TYPE_3 VAR_3 = METHOD_2 ( VAR_1 , VAR_2 ) ; return VAR_3 . METHOD_3 ( ) . toString ( ) ; } 
","public java.lang.String METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) throws java.io.IOException { TYPE_3 VAR_3 = METHOD_2 ( VAR_1 , VAR_2 ) ; return VAR_3 . METHOD_3 ( ) . toString ( ) ; } 
","public java.lang.String METHOD_1 ( TYPE_1 VAR_1 , java.lang.String path ) throws java.io.IOException { return path ; } 
","public java.lang.String METHOD_1 ( TYPE_1 VAR_1 , java.lang.String VAR_2 ) throws java.io.IOException { return path ; } 
",-2,-2
4362,"public void METHOD_1 ( java.lang.String id ) { TYPE_1 VAR_1 = new TYPE_1 ( id , null ) ; this . VAR_2 . METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String id ) { TYPE_1 VAR_1 = new TYPE_1 ( id , null ) ; this . VAR_2 . METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( java.lang.String id ) { this . VAR_2 . METHOD_2 ( id ) ; } 
","public void METHOD_1 ( java.lang.String id ) { this . VAR_2 . METHOD_2 ( VAR_1 ) ; } 
",-2,-2
5670,"protected void execute ( ) { if ( ( ! ( VAR_1 ) ) && ( ( VAR_2 . get ( ) ) >= ( VAR_3 ) ) ) { VAR_4 . METHOD_1 ( VAR_5 ) ; VAR_2 . METHOD_2 ( ) ; VAR_1 = true ; } } 
","protected void execute ( ) { if ( ( ! ( VAR_1 ) ) && ( ( VAR_2 . get ( ) ) >= ( VAR_3 ) ) ) { VAR_4 . METHOD_1 ( VAR_5 ) ; VAR_2 . METHOD_2 ( ) ; VAR_1 = true ; } } 
","protected void execute ( ) { if ( ( ! ( VAR_1 ) ) && ( ( VAR_2 . get ( ) ) >= ( VAR_3 ) ) ) { VAR_4 . set ( VAR_5 ) ; VAR_2 . METHOD_2 ( ) ; VAR_1 = true ; } } 
","protected void execute ( ) { if ( ( ! ( VAR_1 ) ) && ( ( VAR_2 . get ( ) ) >= ( VAR_3 ) ) ) { VAR_4 . METHOD_1 ( VAR_5 ) ; VAR_2 . METHOD_2 ( ) ; VAR_1 = true ; } } 
",-2,-2
3796,"public java.util.List < java.lang.String > METHOD_1 ( ) { return TYPE_1 . METHOD_2 ( STRING_1 , STRING_2 ) ; } 
","public java.util.List < java.lang.String > METHOD_1 ( ) { return TYPE_1 . METHOD_2 ( STRING_1 , STRING_2 ) ; } 
","public java.util.List < java.lang.String > METHOD_1 ( ) { return java.util.Arrays.asList ( STRING_1 , STRING_2 ) ; } 
","public java.util.List < java.lang.String > METHOD_1 ( ) { return java.util.Arrays.METHOD_2 ( STRING_1 , STRING_2 ) ; } 
",-1,-1
3132,"public static boolean METHOD_1 ( int state ) { return TYPE_1 . METHOD_2 ( state ) ; } 
","public static boolean METHOD_1 ( int state ) { return TYPE_1 . METHOD_2 ( state ) ; } 
","public static boolean METHOD_1 ( int state ) { return TYPE_1 . METHOD_2 ( java.lang.Math.abs ( state ) ) ; } 
","public static boolean METHOD_1 ( int state ) { return TYPE_1 . METHOD_2 ( java.lang.Math.METHOD_2 ( state ) ) ; } 
",-1,-1
561,"public double METHOD_1 ( ) { return ( super . getValue ( ) ) * ( - 1 ) ; } 
","public double METHOD_1 ( ) { return ( super . METHOD_1 ( ) ) * ( - 1 ) ; } 
","public double METHOD_1 ( ) { return ( super . METHOD_1 ( ) ) * ( - 1 ) ; } 
","public double METHOD_1 ( ) { return ( super . METHOD_1 ( ) ) * ( - 1 ) ; } 
",-2,-2
1399,"public boolean METHOD_1 ( java.lang.Object VAR_1 ) { return false ; } 
","public boolean METHOD_1 ( java.lang.Object VAR_1 ) { return false ; } 
","public boolean METHOD_1 ( java.lang.Object x ) { return false ; } 
","public boolean METHOD_1 ( java.lang.Object VAR_1 ) { return false ; } 
",-2,-2
5132,"public boolean METHOD_1 ( android.view.View VAR_1 ) { if ( ( VAR_2 . METHOD_2 ( ) ) != null ) { VAR_2 . METHOD_2 ( ) . METHOD_3 ( VAR_2 , view , METHOD_4 ( ) ) ; } return false ; } 
","public boolean METHOD_1 ( android.view.View VAR_1 ) { if ( ( VAR_2 . METHOD_2 ( ) ) != null ) { VAR_2 . METHOD_2 ( ) . METHOD_3 ( VAR_2 , VAR_1 , METHOD_4 ( ) ) ; } return false ; } 
","public boolean METHOD_1 ( android.view.View VAR_1 ) { if ( ( VAR_2 . METHOD_2 ( ) ) != null ) { VAR_2 . METHOD_2 ( ) . METHOD_3 ( VAR_2 , VAR_1 , METHOD_4 ( ) ) ; } return false ; } 
","public boolean METHOD_1 ( android.view.View VAR_1 ) { if ( ( VAR_2 . METHOD_2 ( ) ) != null ) { VAR_2 . METHOD_2 ( ) . METHOD_3 ( VAR_2 , VAR_1 , METHOD_4 ( ) ) ; } return false ; } 
",-2,-2
334,"public static java.lang.String getConfig ( java.lang.String key , java.lang.String VAR_1 ) { java.lang.String value = VAR_2 . METHOD_1 ( key ) ; return value == null ? VAR_1 : value ; } 
","public static java.lang.String getConfig ( java.lang.String key , java.lang.String VAR_1 ) { java.lang.String value = VAR_2 . METHOD_1 ( key ) ; return value == null ? VAR_1 : value ; } 
","public static java.lang.String getConfig ( java.lang.String key , java.lang.String VAR_1 ) { java.lang.String value = VAR_2 . get ( key ) ; return value == null ? VAR_1 : value ; } 
","public static java.lang.String getConfig ( java.lang.String key , java.lang.String VAR_1 ) { java.lang.String value = VAR_2 . METHOD_1 ( key ) ; return value == null ? VAR_1 : value ; } 
",-2,-2
5624,"public void METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { VAR_2 . METHOD_2 ( STRING_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { VAR_2 . METHOD_2 ( STRING_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { java.lang.System.out.println ( STRING_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) throws java.lang.Exception { java.lang.System.out.METHOD_2 ( STRING_1 ) ; } 
",0,0
}","public void operationComplete(cn.ifengkou.hestia.test.client.ChannelFuture channelFuture) throws java.lang.Exception {
    java.lang.System.out.println(""--消息发�?);","public void operationComplete(cn.ifengkou.hestia.test.client.ChannelFuture channelFuture) throws java.lang.Exception {
    java.lang.System.out.println(""--消息发�?);",,,-2,-2
}","Update Invocation at Block
","Update Invocation at Block
","void operationComplete(cn.ifengkou.hestia.test.client.ChannelFuture)
void operationComplete(cn.ifengkou.hestia.test.client.ChannelFuture)","void operationComplete(cn.ifengkou.hestia.test.client.ChannelFuture)
void operationComplete(cn.ifengkou.hestia.test.client.ChannelFuture)",-2,-2
2321,"public boolean METHOD_1 ( java.lang.String id , java.lang.String nodes , java.util.List < java.lang.String > VAR_1 ) { return false ; } 
","public boolean METHOD_1 ( java.lang.String id , java.lang.String VAR_1 , java.util.List < java.lang.String > VAR_1 ) { return false ; } 
","public boolean METHOD_1 ( java.lang.String node , java.lang.String VAR_1 , java.util.List < java.lang.String > nodes ) { return false ; } 
","public boolean METHOD_1 ( java.lang.String node , java.lang.String VAR_1 , java.util.List < java.lang.String > VAR_1 ) { return false ; } 
",-2,-2
5194,"public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_2 ( VAR_1 , new java.util.HashSet < java.lang.String > ( ) ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_2 ( VAR_1 , new java.util.HashSet < java.lang.String > ( ) ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . put ( VAR_1 , new java.util.HashSet < java.lang.String > ( ) ) ; } 
","public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_2 ( VAR_1 , new java.util.HashSet < java.lang.String > ( ) ) ; } 
",-2,-2
737,"public TYPE_1 METHOD_1 ( ) { if ( this . isEmpty ( ) ) { throw new TYPE_2 ( ) ; } int VAR_1 = METHOD_2 ( ) ; return VAR_2 [ VAR_1 ] ; } 
","public TYPE_1 METHOD_1 ( ) { if ( this . isEmpty ( ) ) { throw new TYPE_2 ( ) ; } int VAR_1 = METHOD_2 ( ) ; return VAR_2 [ VAR_1 ] ; } 
","public TYPE_1 METHOD_1 ( ) { if ( this . isEmpty ( ) ) { throw new TYPE_2 ( ) ; } int index = METHOD_2 ( ) ; return VAR_2 [ index ] ; } 
","public TYPE_1 METHOD_1 ( ) { if ( this . isEmpty ( ) ) { throw new TYPE_2 ( ) ; } int VAR_1 = METHOD_2 ( ) ; return VAR_2 [ VAR_1 ] ; } 
",-2,-2
2917,"public short METHOD_1 ( java.lang.String key ) { java.lang.String VAR_1 = METHOD_2 ( key ) ; return VAR_1 == null ? null : TYPE_1 . METHOD_3 ( key ) ; } 
","public short METHOD_1 ( java.lang.String key ) { java.lang.String VAR_1 = METHOD_2 ( key ) ; return VAR_1 == null ? null : TYPE_1 . METHOD_3 ( VAR_1 ) ; } 
","public short METHOD_1 ( java.lang.String key ) { java.lang.String VAR_1 = METHOD_2 ( key ) ; return VAR_1 == null ? null : TYPE_1 . METHOD_3 ( VAR_1 ) ; } 
","public short METHOD_1 ( java.lang.String key ) { java.lang.String VAR_1 = METHOD_2 ( key ) ; return VAR_1 == null ? null : TYPE_1 . METHOD_3 ( VAR_1 ) ; } 
",-2,-2
