,buggy,fixed,buggy-org,fixed-org,buggy_source_code,fixed_source_code,operations,signature,is_filtered,check1,check2
1104,"public static byte [ ] METHOD_1 ( byte [ ] VAR_1 , byte [ ] token ) { byte [ ] VAR_2 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_3 ) ; return TYPE_2 . METHOD_3 ( TYPE_1 . METHOD_2 ( VAR_2 , token ) , VAR_4 ) ; } 
","private static byte [ ] METHOD_1 ( byte [ ] VAR_1 , byte [ ] token ) { byte [ ] VAR_2 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_3 ) ; return TYPE_2 . METHOD_3 ( TYPE_1 . METHOD_2 ( VAR_2 , token ) , VAR_4 ) ; } 
","public static byte [ ] METHOD_1 ( byte [ ] VAR_1 , byte [ ] token ) { byte [ ] VAR_2 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_3 ) ; return TYPE_2 . METHOD_3 ( TYPE_1 . METHOD_2 ( VAR_2 , token ) , VAR_4 ) ; } 
","private static byte [ ] METHOD_1 ( byte [ ] VAR_1 , byte [ ] token ) { byte [ ] VAR_2 = TYPE_1 . METHOD_2 ( VAR_1 , VAR_3 ) ; return TYPE_2 . METHOD_3 ( TYPE_1 . METHOD_2 ( VAR_2 , token ) , VAR_4 ) ; } 
","public static byte[] getPskSharedSecret(byte[] receiverSecret, byte[] token) {
    byte[] generator = org.interledger.psk.io.PskUtils.hmac(receiverSecret, org.interledger.psk.io.PskUtils.PSK_GENERATION_STRING);
    return java.util.Arrays.copyOf(org.interledger.psk.io.PskUtils.hmac(generator, token), org.interledger.psk.io.PskUtils.SHARED_SECRET_LENGTH);
}","private static byte[] getPskSharedSecret(byte[] receiverSecret, byte[] token) {
    byte[] generator = org.interledger.psk.io.PskUtils.hmac(receiverSecret, org.interledger.psk.io.PskUtils.PSK_GENERATION_STRING);
    return java.util.Arrays.copyOf(org.interledger.psk.io.PskUtils.hmac(generator, token), org.interledger.psk.io.PskUtils.SHARED_SECRET_LENGTH);
}","Update Method at Class
","byte[] getPskSharedSecret(byte[],byte[])
byte[] getPskSharedSecret(byte[],byte[])",0,2,2
11041,"private static void METHOD_1 ( final TYPE_1 p ) { VAR_1 . add ( p ) ; } 
","private static void METHOD_1 ( final TYPE_1 p ) { synchronized ( VAR_1 ) { VAR_1 . add ( p ) ; } } 
","private static void METHOD_1 ( final TYPE_1 p ) { VAR_1 . add ( p ) ; } 
","private static void METHOD_1 ( final TYPE_1 p ) { synchronized ( VAR_1 ) { VAR_1 . add ( p ) ; } } 
","private static void killOnExit(final java.lang.Process p) {
    org.apache.openejb.config.RemoteServer.kill.add(p);
}","private static void killOnExit(final java.lang.Process p) {
    synchronized(org.apache.openejb.config.RemoteServer.kill) {
        org.apache.openejb.config.RemoteServer.kill.add(p);
    }
}","Insert Block at Method
Insert Synchronized at Block
Insert FieldRead at Synchronized
Move Block from Method to CtBlockImpl
Insert TypeAccess at FieldRead
","void killOnExit(java.lang.Process)
void killOnExit(java.lang.Process)",0,2,2
11209,"public java.lang.String METHOD_1 ( ) { java.lang.String [ ] VAR_1 = ( ( java.lang.String [ ] ) ( VAR_2 . METHOD_2 ( ) . METHOD_3 ( ) ) ) ; return view . METHOD_4 ( STRING_1 , STRING_2 , VAR_1 ) ; } 
","public java.lang.String METHOD_1 ( ) { java.lang.Object [ ] VAR_1 = VAR_2 . METHOD_2 ( ) . METHOD_3 ( ) ; return view . METHOD_4 ( STRING_1 , STRING_2 , VAR_1 ) ; } 
","public java.lang.String METHOD_1 ( ) { java.lang.String [ ] VAR_1 = ( ( java.lang.String [ ] ) ( VAR_2 . METHOD_2 ( ) . METHOD_3 ( ) ) ) ; return view . METHOD_4 ( STRING_1 , STRING_2 , VAR_1 ) ; } 
","public java.lang.String METHOD_1 ( ) { java.lang.Object [ ] VAR_1 = VAR_2 . METHOD_2 ( ) . METHOD_3 ( ) ; return view . METHOD_4 ( STRING_1 , STRING_2 , VAR_1 ) ; } 
","public java.lang.String getCrimeScene() {
    java.lang.String[] options = ((java.lang.String[]) (game.allRoomNames().toArray()));
    return view.guessDialog(""Choose a room"", ""Scene of the crime?"", options);
}","public java.lang.String getCrimeScene() {
    java.lang.Object[] options = game.allRoomNames().toArray();
    return view.guessDialog(""Choose a room"", ""Scene of the crime?"", options);
}","Update Invocation at Return
","java.lang.String getCrimeScene()
java.lang.String getCrimeScene()",0,2,2
11339,"public java.lang.String METHOD_1 ( int position ) { TYPE_1 . METHOD_2 ( STRING_1 , ( STRING_2 + ( VAR_1 . get ( position ) . get ( STRING_3 ) ) ) ) ; return VAR_1 . get ( position ) . get ( STRING_3 ) ; } 
","public java.lang.String METHOD_1 ( int position ) { return VAR_1 . get ( position ) . get ( STRING_3 ) ; } 
","public java.lang.String METHOD_1 ( int position ) { TYPE_1 . METHOD_2 ( STRING_1 , ( STRING_2 + ( VAR_1 . get ( position ) . get ( STRING_3 ) ) ) ) ; return VAR_1 . get ( position ) . get ( STRING_3 ) ; } 
","public java.lang.String METHOD_1 ( int position ) { return VAR_1 . get ( position ) . get ( STRING_3 ) ; } 
","@java.lang.Override
public java.lang.String getItem(int position) {
    android.util.Log.e(""SchoolIDItem"", ("""" + (cityZipList.get(position).get(""sch_id""))));
    return cityZipList.get(position).get(""sch_id"");
}","@java.lang.Override
public java.lang.String getItem(int position) {
    return cityZipList.get(position).get(""sch_id"");
}","Delete TypeAccess at Invocation
Delete Literal at Invocation
Delete Literal at BinaryOperator
Delete TypeAccess at ThisAccess
Delete ThisAccess at FieldRead
Delete FieldRead at Invocation
Delete VariableRead at Invocation
Delete Invocation at Invocation
Delete Literal at Invocation
Delete Invocation at BinaryOperator
Delete BinaryOperator at Invocation
Delete Invocation at Block
","java.lang.String getItem(int)
java.lang.String getItem(int)",0,2,2
11368,"public void METHOD_1 ( ) { java.lang.String VAR_1 = ( VAR_2 ) + ( VAR_3 . METHOD_2 ( ) ) ; TYPE_1 f = ( ( TYPE_1 ) ( new TYPE_1 ( VAR_4 ) . METHOD_3 ( VAR_5 , VAR_1 ) ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 f = ( ( TYPE_1 ) ( new TYPE_1 ( VAR_4 ) . METHOD_3 ( VAR_5 , ( ( VAR_2 ) + ( VAR_3 . METHOD_2 ( ) ) ) ) ) ) ; } 
","public void METHOD_1 ( ) { java.lang.String VAR_1 = ( VAR_2 ) + ( VAR_3 . METHOD_2 ( ) ) ; TYPE_1 f = ( ( TYPE_1 ) ( new TYPE_1 ( VAR_4 ) . METHOD_3 ( VAR_5 , VAR_1 ) ) ) ; } 
","public void METHOD_1 ( ) { TYPE_1 f = ( ( TYPE_1 ) ( new TYPE_1 ( VAR_4 ) . METHOD_3 ( VAR_5 , ( ( VAR_2 ) + ( VAR_3 . METHOD_2 ( ) ) ) ) ) ) ; } 
","public void uploadPicture() {
    java.lang.String test = (upLoadServerUri) + (entity.getUploadpath());
    de.edvschuleplattling.mtbdevent.service.strategie.Uploading.FileUploadTask f = ((de.edvschuleplattling.mtbdevent.service.strategie.Uploading.FileUploadTask) (new de.edvschuleplattling.mtbdevent.service.strategie.Uploading.FileUploadTask(pathForUpload).executeOnExecutor(AsyncTask.THREAD_POOL_EXECUTOR, test)));
}","public void uploadPicture() {
    de.edvschuleplattling.mtbdevent.service.strategie.Uploading.FileUploadTask f = ((de.edvschuleplattling.mtbdevent.service.strategie.Uploading.FileUploadTask) (new de.edvschuleplattling.mtbdevent.service.strategie.Uploading.FileUploadTask(pathForUpload).executeOnExecutor(AsyncTask.THREAD_POOL_EXECUTOR, ((upLoadServerUri) + (entity.getUploadpath())))));
}","Update LocalVariable at Block
Insert Invocation at LocalVariable
Move ConstructorCall from Invocation to CtConstructorCallImpl
Insert TypeAccess at Invocation
Move BinaryOperator from LocalVariable to CtBinaryOperatorImpl
Delete TypeAccess at Invocation
Delete VariableRead at Invocation
Delete Invocation at LocalVariable
Delete LocalVariable at Block
","void uploadPicture()
void uploadPicture()",0,1,2
11494,"public void METHOD_1 ( final java.lang.String VAR_1 ) { output ( VAR_1 , ( ( VAR_2 . METHOD_2 ( ) ) + ( VAR_3 ) ) , false ) ; VAR_4 = true ; } 
","public void METHOD_1 ( final java.lang.String VAR_1 ) { output ( VAR_1 , ( ( VAR_2 . METHOD_2 ( ) ) + ( VAR_3 ) ) , false , false ) ; VAR_4 = true ; } 
","public void METHOD_1 ( final java.lang.String VAR_1 ) { output ( VAR_1 , ( ( VAR_2 . METHOD_2 ( ) ) + ( VAR_3 ) ) , false ) ; VAR_4 = true ; } 
","public void METHOD_1 ( final java.lang.String VAR_1 ) { output ( VAR_1 , ( ( VAR_2 . METHOD_2 ( ) ) + ( VAR_3 ) ) , false , false ) ; VAR_4 = true ; } 
","public void consoleWritePrompt(final java.lang.String prompt) {
    output(prompt, ((styles_.prompt()) + (org.rstudio.studio.client.common.shell.ShellWidget.KEYWORD_CLASS_NAME)), false);
    clearErrors_ = true;
}","public void consoleWritePrompt(final java.lang.String prompt) {
    output(prompt, ((styles_.prompt()) + (org.rstudio.studio.client.common.shell.ShellWidget.KEYWORD_CLASS_NAME)), false, false);
    clearErrors_ = true;
}","Update Invocation at Block
Insert Literal at Invocation
","void consoleWritePrompt(java.lang.String)
void consoleWritePrompt(java.lang.String)",0,2,2
11498,"public void METHOD_1 ( android.view.View view ) { android.content.Intent intent = new android.content.Intent ( view . getContext ( ) , VAR_1 class ) ; METHOD_2 ( intent ) ; TYPE_1 . METHOD_3 ( STRING_1 , STRING_2 ) ; } 
","public void METHOD_1 ( android.view.View view ) { android.content.Intent intent = new android.content.Intent ( view . getContext ( ) , VAR_1 class ) ; METHOD_2 ( intent ) ; } 
","public void METHOD_1 ( android.view.View view ) { android.content.Intent intent = new android.content.Intent ( view . getContext ( ) , VAR_1 class ) ; METHOD_2 ( intent ) ; TYPE_1 . METHOD_3 ( STRING_1 , STRING_2 ) ; } 
","public void METHOD_1 ( android.view.View view ) { android.content.Intent intent = new android.content.Intent ( view . getContext ( ) , VAR_1 class ) ; METHOD_2 ( intent ) ; } 
","@java.lang.Override
public void onClick(android.view.View view) {
    android.content.Intent intent = new android.content.Intent(view.getContext(), ualberta.cmput301w16t16.glamorousborrowingwhaleapp.NewListingActivity.class);
    startActivity(intent);
    android.util.Log.d(""TEST"", ""aaa"");
}","@java.lang.Override
public void onClick(android.view.View view) {
    android.content.Intent intent = new android.content.Intent(view.getContext(), ualberta.cmput301w16t16.glamorousborrowingwhaleapp.NewListingActivity.class);
    startActivity(intent);
}","Delete TypeAccess at Invocation
Delete Literal at Invocation
Delete Literal at Invocation
Delete Invocation at Block
","void onClick(android.view.View)
void onClick(android.view.View)",0,0,0
11556,"public void METHOD_1 ( ) { this . VAR_1 = new TYPE_1 ( ) ; } 
","public void METHOD_1 ( ) { this . VAR_1 = null ; this . VAR_1 = new TYPE_1 ( ) ; } 
","public void METHOD_1 ( ) { this . VAR_1 = new TYPE_1 ( ) ; } 
","public void METHOD_1 ( ) { this . VAR_1 = null ; this . VAR_1 = new TYPE_1 ( ) ; } 
","public void newHand() {
    this.hand = new Hand();
}","public void newHand() {
    this.hand = null;
    this.hand = new Hand();
}","Insert Assignment at Block
Insert FieldWrite at Assignment
Insert Literal at Assignment
Insert ThisAccess at FieldWrite
Insert TypeAccess at ThisAccess
","void newHand()
void newHand()",0,2,2
11752,"public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String url , int index ) { TYPE_2 . METHOD_2 ( this ) . METHOD_3 ( url ) . METHOD_4 ( VAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , int index ) { TYPE_2 . METHOD_2 ( this ) . METHOD_3 ( list . get ( index ) ) . METHOD_4 ( VAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , java.lang.String url , int index ) { TYPE_2 . METHOD_2 ( this ) . METHOD_3 ( url ) . METHOD_4 ( VAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 , int index ) { TYPE_2 . METHOD_2 ( this ) . METHOD_3 ( list . get ( index ) ) . METHOD_4 ( VAR_1 ) ; } 
","@java.lang.Override
public void loadImage(android.widget.ImageView imageView, java.lang.String url, int index) {
    com.bumptech.glide.Glide.with(this).load(url).into(imageView);
}","@java.lang.Override
public void loadImage(android.widget.ImageView imageView, int index) {
    com.bumptech.glide.Glide.with(this).load(list.get(index)).into(imageView);
}","Delete Parameter at Method
","void loadImage(android.widget.ImageView,java.lang.String,int)
void loadImage(android.widget.ImageView,int)",0,2,2
11755,"public synchronized TYPE_1 METHOD_1 ( ) { while ( true ) try { METHOD_2 ( ) ; break ; } catch ( TYPE_2 VAR_1 ) { continue ; } return VAR_2 . METHOD_3 ( ) ; } 
","public TYPE_1 METHOD_1 ( ) { return VAR_2 . METHOD_3 ( ) ; } 
","public synchronized TYPE_1 METHOD_1 ( ) { while ( true ) try { METHOD_2 ( ) ; break ; } catch ( TYPE_2 VAR_1 ) { continue ; } return VAR_2 . METHOD_3 ( ) ; } 
","public TYPE_1 METHOD_1 ( ) { return VAR_2 . METHOD_3 ( ) ; } 
","public synchronized network.models.JSONMessageResponse.Message tryDequeue() {
    while (true)
        try {
            wait();
            break;
        } catch (java.lang.InterruptedException e) {
            continue;
        }
    
    return messageQueue.poll();
}","public network.models.JSONMessageResponse.Message tryDequeue() {
    return messageQueue.poll();
}","Insert Block at Method
Move Return from Block to CtReturnImpl
Delete Literal at While
Delete TypeAccess at ThisAccess
Delete ThisAccess at Invocation
Delete Invocation at Block
Delete Break at Block
Delete Block at Try
Delete CatchVariable at Catch
Delete Continue at Block
Delete Block at Catch
Delete Catch at Try
Delete Try at Block
Delete Block at While
Delete While at Block
Delete Block at Method
","network.models.JSONMessageResponse.Message tryDequeue()
network.models.JSONMessageResponse.Message tryDequeue()",0,1,1
